aaa,9889435,7449,77,146
aab,9938511,8643,6,18
aac,9653911,8106,58,137
aad,9858989,9132,6,23
aae,9964836,9387,195,320
aaf,9973393,8787,439,703
aag,9871905,8707,9,26
aba,9761160,9313,132,346
abb,9986519,9278,225,332
abc,9709362,8871,94,152
abd,9896331,7560,78,158
abe,9578085,8409,182,251
abf,9938200,8575,119,244
abg,9971629,10132,144,250
aca,9817510,8883,97,181
acb,9693041,9660,75,209
acc,9982246,8034,247,578
acd,9956304,9153,43,75
ace,9991969,9511,5,13
acf,9938614,8679,11,30
acg,9671554,8915,164,278
ada,9618685,9394,14,48
adb,9906783,9647,88,256
adc,9563198,8739,44,145
add,9919020,10527,227,420
ade,9873335,9435,121,195
adf,9770381,9483,69,106
adg,9906850,9632,278,734
aea,9985044,9051,97,174
aeb,9747487,9684,48,99
aec,9968944,8862,74,160
aed,9742844,7706,9,28
aee,9893942,9816,62,134
aef,9894833,9060,357,568
aeg,9984054,8616,7,23
afa,9882533,8961,132,213
afb,9955944,9051,129,380
afc,9886477,8102,64,205
afd,9962463,8882,5,12
afe,9836493,8943,6,17
aff,9279319,8920,234,389
afg,9623876,10071,101,161
aga,9872517,8350,319,700
agb,9973482,9663,40,85
agc,9702048,9932,107,143
agd,9616721,8933,17,34
age,9625063,8512,121,296
agf,9705373,9432,224,405
agg,9996586,11047,62,138
baa,9971505,8043,199,328
bab,9962906,8498,194,430
bac,9936434,9536,29,47
bad,9933091,11673,42,102
bae,9869620,8919,36,58
baf,9686814,8982,84,240
bag,9782087,9788,264,490
bba,9817895,9494,465,638
bbb,9880643,10706,316,585
bbc,9935372,9051,63,171
bbd,9763158,9554,177,258
bbe,9894300,7942,273,789
bbf,9970470,9871,109,339
bbg,9977611,9040,7,24
bca,9984549,8308,12,38
bcb,9994926,9315,5,13
bcc,9999199,8432,207,404
bcd,9698159,10086,116,209
bce,9919942,8924,51,207
bcf,9958467,8625,448,919
bcg,9565233,9256,75,116
bda,9717737,11979,420,781
bdb,9988476,8033,195,305
bdc,9565796,8974,116,303
bdd,9673366,8918,91,206
bde,9952706,7708,144,218
bdf,9940805,9198,84,168
bdg,9970441,7030,39,71
bea,9635539,10588,131,235
beb,9935320,9311,52,144
bec,9916755,9391,27,91
bed,9906821,9829,161,315
bee,9981686,8007,25,48
bef,9738308,7693,189,269
beg,9981978,9849,60,117
bfa,9779686,8147,31,54
bfb,9710255,10657,59,140
bfc,9871424,9131,134,316
bfd,9706824,9493,43,135
bfe,9457357,9373,83,304
bff,9966028,10754,5,14
bfg,9792128,9249,21,38
bga,9901435,7024,364,526
bgb,9963218,7303,79,201
bgc,9712922,9893,97,394
bgd,9724354,7699,6,17
bge,9976969,9333,188,415
bgf,9996670,7972,5,13
bgg,9975209,8838,91,256
caa,9966931,10448,309,648
cab,9835859,8681,86,264
cac,9687959,9829,39,63
cad,9858694,8165,58,137
cae,9917665,11117,247,464
caf,9892232,9282,90,153
cag,9925181,10080,106,162
cba,9645145,8583,251,426
cbb,9993697,8518,136,189
cbc,9884033,7929,84,124
cbd,9621270,9609,254,495
cbe,9501966,9717,316,619
cbf,9611596,8941,262,422
cbg,9998301,9836,44,155
cca,9407526,8662,104,184
ccb,9976470,7419,44,69
ccc,9996195,10390,413,1296
ccd,9973500,8689,24,61
cce,9919752,9699,24,54
ccf,9586004,9447,82,131
ccg,9694310,8759,67,236
cda,9763887,9980,291,556
cdb,9935004,9367,122,245
cdc,9819647,8460,120,170
cdd,9805843,11181,22,89
cde,9641329,8158,158,286
cdf,9662754,8214,144,224
cdg,9965690,10424,76,123
cea,9916597,9816,6,20
ceb,9843730,9669,31,67
cec,9508442,8424,90,212
ced,9953384,7325,48,129
cee,9958605,8607,173,355
cef,9638949,7612,72,153
ceg,9624324,8836,182,303
cfa,9982206,8321,16,44
cfb,9824283,7834,166,388
cfc,9931539,9070,59,130
cfd,9976805,8294,303,564
cfe,9838201,8291,23,67
cff,9864941,8156,62,118
cfg,9585985,8397,143,236
cga,9722131,9103,179,265
cgb,9968637,8318,74,146
cgc,9959325,9491,119,219
cgd,9979183,10001,106,214
cge,9885275,9552,69,188
cgf,9895312,6727,110,167
cgg,9875763,8412,61,120
daa,9741921,9866,161,247
dab,9888856,8519,86,240
dac,9945559,9620,118,213
dad,9969069,8505,56,93
dae,9779721,10325,22,94
daf,9831720,9810,68,208
dag,9862616,8933,71,167
dba,9956725,9334,503,763
dbb,9573075,9271,65,219
dbc,9886227,9291,36,76
dbd,9521435,10495,24,56
dbe,9949697,9349,179,377
dbf,9717249,10476,111,244
dbg,9673557,10025,63,200
dca,9779086,7436,8,23
dcb,9847206,10290,157,311
dcc,9939895,8918,186,297
dcd,9837460,7835,259,463
dce,9939572,10948,128,185
dcf,9537510,8595,179,260
dcg,9793827,9528,167,244
dda,9993654,9665,56,188
ddb,9884908,9207,5,11
ddc,9819961,7867,12,33
ddd,9941641,7750,100,152
dde,9932004,10408,236,484
ddf,9989036,8611,78,147
ddg,9819688,9538,247,564
dea,9959203,9109,239,414
deb,9810321,9770,39,145
dec,9780032,8964,244,406
ded,9678766,9086,88,207
dee,9870177,8963,301,468
def,9798656,9469,252,551
deg,9774067,8523,25,79
